item_id 名字 等级 职业 
1000025 英式高帽 0 0
1001035 枫叶印第安头饰 0 0
1002001 金属头箍 15 0
1002002 金属头盔 10 1
1002003 钢铁帽 12 1
1002004 褐色战斗头盔 35 1
1002005 钢制骑士头盔 25 1
1002006 骷髅头盔 42 0
1002007 铁制头具 15 1
1002008 褐色皮帽 5 0
1002009 钢铁橄榄球帽 20 1
1002010 褐色高级皮帽 10 4
1002011 钢制海王帽 20 1
1002012 红色棒球帽 20 0
1002013 孙悟空头箍 30 2
1002014 红色发箍 5 0
1002016 绿色法师帽 20 2
1002017 褐色旧魔法帽 10 2
1002019 白头巾 10 0
1002020 红星头巾 25 0
1002021 诺曼头盔 40 1
1002022 旧诺曼头盔 55 1
1002023 枪骑士头盔 30 1
1002024 祖母綠武士头盔 47 1
1002025 红铁头盔 40 1
1002026 褐色斗笠 25 0
1002027 铁制尖头具 22 1
1002028 银制十字军帽子 50 1
1002029 将军的红头盔 60 1
1002030 银制战帽 70 1
1002033 狗皮帽 15 0
1002034 蓝色术士帽 30 2
1002035 粉红术士帽 30 2
1002036 绿色术士帽 30 2
1002037 黑色术士帽 30 2
1002038 褐色术士帽 30 2
1002039 青铜头盔 12 1
1002040 锂矿帽 12 1
1002041 黄色金属头箍 15 0
1002042 蓝色金属头箍 15 0
1002043 青铜头盔 10 1
1002044 锂矿头盔 10 1
1002045 蓝色骷髅头盔 42 1
1002046 红色骷髅头盔 42 1
1002047 红色战斗头盔 35 1
1002048 蓝色战斗头盔 35 1
1002049 黄金骑士头盔 25 1
1002050 紫矿骑士头盔 25 1
1002051 青铜头盔 15 1
1002052 锂矿头盔 15 1
1002053 绿色皮帽 5 0
1002054 红色皮帽 5 0
1002055 青铜橄榄球帽 20 1
1002056 锂矿橄榄球帽 20 1
1002057 绿色高级皮帽 10 4
1002058 锂矿海王头盔 20 1
1002059 青铜海王头盔 20 1
1002060 黑色棒球帽 20 0
1002061 黄色棒球帽 20 0
1002062 褐色棒球帽 20 0
1002063 青色棒球帽 20 0
1002064 孙悟空青铜头箍 30 2
1002065 孙悟空钢制头箍 30 2
1002066 黑发箍 5 0
1002067 淡绿发箍 5 0
1002068 黄发箍 5 0
1002069 蓝发箍 5 0
1002072 蓝色法师帽 20 2
1002073 红色法师帽 20 2
1002074 蓝色旧魔法帽 10 2
1002075 红色旧魔法帽 10 2
1002080 海盗头巾(红) 10 0
1002081 海盗头巾(青) 10 0
1002082 海盗头巾(黄) 10 0
1002083 海盗头巾(黑) 10 0
1002084 将军青头盔 60 1
1002085 锂矿十字军帽 50 1
1002086 青铜十字军帽 50 1
1002087 锂矿尖头盔 22 1
1002088 黄金尖头盔 22 1
1002089 绿色斗笠 25 0
1002090 蓝色斗笠 25 0
1002091 黑青武士头盔 47 1
1002092 黄铁头盔 40 1
1002093 蓝铁头盔 40 1
1002094 青铜战盔 70 1
1002095 锂矿战盔 70 1
1002096 蓝星头巾 25 0
1002097 黄星头巾 25 0
1002098 黄金诺曼头盔 40 1
1002099 锂矿诺曼头盔 40 1
1002100 旧青铜诺曼头盔 55 1
1002101 旧锂矿诺曼头盔 55 1
1002102 蓝色魔法帽 15 2
1002103 粉红魔法帽 15 2
1002104 绿色魔法帽 15 2
1002105 黑色魔法帽 15 2
1002106 褐色魔法帽 15 2
1002107 飞侠红头巾 15 8
1002108 飞侠蓝头巾 15 8
1002109 飞侠绿头巾 15 8
1002110 飞侠黑头巾 15 8
1002111 飞侠黄头巾 15 8
1002112 红羽毛帽 15 4
1002113 蓝羽毛帽 15 4
1002114 绿羽毛帽 15 4
1002115 黑羽毛帽 15 4
1002116 褐羽毛帽 15 4
1002117 红箭翎帽 20 4
1002118 蓝箭翎帽 20 4
1002119 绿箭翎帽 20 4
1002120 黑箭翎帽 20 4
1002121 褐箭翎帽 20 4
1002122 飞侠红帽 10 8
1002123 飞侠蓝帽 10 8
1002124 飞侠褐帽 10 8
1002125 飞侠黑帽 10 8
1002126 飞侠绿帽 10 8
1002127 红自由之帽 20 8
1002128 蓝自由之帽 20 8
1002129 褐自由之帽 20 8
1002130 黑自由之帽 20 8
1002131 绿自由之帽 20 8
1002132 黑游泳帽 8 0
1002133 蓝游泳帽 8 0
1002134 红游泳帽 8 0
1002135 褐箭翎三角帽 35 4
1002136 黑箭翎三角帽 35 4
1002137 绿箭翎三角帽 35 4
1002138 蓝箭翎三角帽 35 4
1002139 红箭翎三角帽 35 4
1002140 维泽特帽 0 0
1002141 红星魔法帽 35 2
1002142 蓝星魔法帽 35 2
1002143 绿星魔法帽 35 2
1002144 褐星魔法帽 35 2
1002145 黑星魔法帽 35 2
1002146 红提贝之帽 25 8
1002147 蓝提贝之帽 25 8
1002148 绿提贝之帽 25 8
1002149 褐提贝之帽 25 8
1002150 黑提贝之帽 25 8
1002151 褐魔道之帽 40 2
1002152 蓝魔道之帽 40 2
1002153 红魔道之帽 40 2
1002154 黑魔道之帽 40 2
1002155 白魔道之帽 40 2
1002156 红打猎帽 25 4
1002157 蓝打猎帽 25 4
1002158 绿打猎帽 25 4
1002159 黑打猎帽 25 4
1002160 褐打猎帽 25 4
1002161 红冬羽 30 4
1002162 蓝冬羽 30 4
1002163 绿冬羽 30 4
1002164 褐冬羽 30 4
1002165 黑冬羽 30 4
1002166 红羽丝绒帽 40 4
1002167 蓝羽丝绒帽 40 4
1002168 绿羽丝绒帽 40 4
1002169 褐羽丝绒帽 40 4
1002170 黑羽丝绒帽 40 4
1002171 红假面帽 30 8
1002172 蓝假面帽 30 8
1002173 绿假面帽 30 8
1002174 褐假面帽 30 8
1002175 黑假面帽 30 8
1002176 红防风帽 35 8
1002177 蓝防风帽 35 8
