id 名字 等级 是否BOSS 怪物类型 地图 掉落
0100100 蜗牛 1 0 0 40000,40001,40002,50000,1000000,1000002,1000003,1000004,1010004,1020001,104000100,104000200 1002067,1040002,1052095,1302000,2000000,2010009,2040002,2041001,2060000,2061000,2380000,4000019,4010000,4020000,2022245,4031865,4031866 move,stand,hit1,die1
0100101 蓝蜗牛 2 0 0 40001,40002,50000,50001,1000000,1000001,1000002,1000004,1000005,1000006,1010004,1020001,100010000,101040000,104000100,104000200,104000300,104000400,104040000 1040006,1040013,1040017,1041012,1060004,1060013,2000000,2010009,2041006,2060000,2061000,2380001,4000000,4010001,4010004,4020001,4020004,4030012,2022245,4031865,4031866 move,stand,hit1,die1
0100130 雪精灵 1 0 0 140010000 1002008,1040010,1041004,1060007,2010000,2010009,2040003,2380015,4000493,4010005,4020005,2022245,4031865,4031866 move,stand,hit1,die1
0100131 香肠嘴雪精灵 3 0 0 140020000 1002002,1002019,1040013,1041012,1060004,1072005,2000000,2010009,2040400,2040618,2040619,2380016,4000494,4010006,4020006,2022245,4031865,4031866 move,stand,hit1,die1
0100132 囧囧雪精灵 5 0 0 140020100 1002001,1002003,1040014,1040015,1041014,1060008,1061014,1072004,1082003,1442000,2000000,2010009,2040823,2041018,2380017,4000495,4010000,4020007,2022245,4031865,4031866 move,stand,hit1,die1
0100133 趴趴雪精灵 7 0 0 140020200 1002007,1002041,1032001,1040038,1041064,1060028,1061023,1072009,1082000,1442006,2000000,2010009,2041004,2048000,2380018,4000496,4010001,4020003,2022245,4031865,4031866 move,stand,hit1,die1
0100134 呆呆雪精灵 9 0 0 140010200 1002042,1002051,1032003,1040009,1051000,1060009,1072050,2000000,2010009,2040500,2044400,2380019,4000497,4010002,4020002,2022245,4031865,4031866 move,stand,hit1,die1
0120100 蘑菇仔 2 0 4 50000,1000000,1000001,1000003,1000006,100010000,104030001,104040000 1002610,1060007,1061009,1062000,1312004,1332006,2000000,2010009,2041007,2060000,2061000,2380002,4000011,4010002,4020002,2022245,4031865,4031866 move,stand,hit1,die1
0130100 木妖 4 0 4 50001,1000000,1000001,1000002,1010004,1020000,100050000,101030000,101030200,101030300,101030400,101030401,101040000,101040002,102010000,102020000 1041002,1061014,1072007,1072008,1082003,1322005,1332000,1452003,1482001,1492000,2000000,2010009,2040402,2041008,2060000,2061000,2380003,4000003,4001358,4010003,4020003,4030009,4031773,4032374,4032378,2022245,4031865,4031866 move,stand,hit1,die1
0130101 红蜗牛 4 0 0 50001,1000001,1000002,1000004,1000005,1000006,1010004,1020000,1020001,100010000,101010000,101010100,101030400,101040000,102010000,102050000,103010000,104000200,104000300,104000400,104010000,104030000,104040000 1032003,1041006,1052095,1060022,1061029,1072005,1072060,1082029,1302000,1322007,1372002,1402001,2000000,2010009,2040502,2041009,2060000,2061000,2380004,4000016,4001359,4010004,4020004,4031846,2022245,4031865,4031866 move,stand,hit1,die1
0210100 绿水灵 6 0 5 1000005,1010004,1020000,100040000,100040001,100040002,100040100,100050000,101010000,101010100,101010101,101020000,101020002,102040000,102050000,103010000,103020000,104020000,104030000,107000001 1002019,1060002,1072008,1072023,1082019,1322007,1412001,1412002,1412012,1432000,1432001,1442029,1482000,2000000,2010009,2040505,2040600,2040602,2041018,2060000,2061000,2380005,4000004,4000010,4010005,4020005,4030000,4031273,4032376,4032377,2022245,4031865,4031866 move,stand,jump,hit1,die1
1110100 绿蘑菇 15 0 4 100000002,100000003,100040003,100050000,101010102,102020100,103030000,103030100,104030001,104040001,104040002,800010000 1002010,1002033,1002143,1032001,1041017,1041018,1041044,1041063,1060031,1061012,1061037,1061059,1072285,1092008,1302007,1302020,1302030,1322000,1382012,1412002,1412012,1432005,1442013,1452003,1452022,1462002,1482001,2000000,2000001,2000003,2040902,2041020,2043102,2044701,2048000,2048001,2048003,2060000,2061000,2380011,4000012,4001348,4001369,4001370,4010004,4010005,4020002,4020003,4031146,4032317,4032318,4032379,2022245,4031865,4031866 move,stand,hit1,die1
1110101 黑木妖 10 0 4 100040000,101010101,101010102,101020000,101020003,101030000,101030100,101030200,101030300,101030401,101030402,101040002,102010000,102020000,102030000 1002039,1002613,1032001,1041018,1041061,1061013,1061057,1092003,1302006,1382000,1432012,1442000,1482000,2000000,2000001,2000003,2040802,2060000,2061000,2380008,4000005,4001344,4001347,4001356,4001360,4001367,4001371,4010001,4020000,4030009,4031773,4032374,4032376,2022245,4031865,4031866 move,stand,hit1,die1
1110130 绝望的绿蘑菇 15 0 4 100040003 1002010,1002033,1002143,1032001,1041017,1041044,1041063,1061012,1061037,1061059,1072285,1092008,1302007,1322000,1412002,1412012,1432005,1452003,1462002,1482001,2000000,2000001,2000003,2043102,2048000,2060000,2061000,2380014,4000012,4010004,4020002,4020003,4032316,4032317,4032318,2022245,4031865,4031866 move,stand,hit1,die1
1120100 三眼章鱼 12 0 0 102040000,102040001,103010000,103010001,103030000 1032001,1040037,1041026,1060027,1061022,1092000,1092007,1412011,1422000,1442013,1482001,2000000,2000003,2043002,2060000,2061000,2380010,4000006,4001349,4001361,4001365,4010003,4020002,4030010,4030012,4032378,2022245,4031865,4031866 move,stand,hit1,die1
1130100 斧木妖 17 0 4 101020007,101030402,101030403,101030404,101040002,102020100,102020200,106000000,106000100 1002097,1002118,1032003,1040019,1041045,1051008,1060015,1061038,1072008,1092007,1312016,1372001,1382004,1402001,1402009,1472032,1492001,2000000,2000003,2043202,2060000,2061000,2070009,2381000,4000018,4010005,4020004,4031147,4031773,2022245,4031865,4031866 move,stand,hit1,die1
1140100 古木妖 19 0 4 101030101,101030102,106000000,106000100,106000200 1002107,1002113,1040018,1041029,1041062,1050003,1050010,1061027,1061058,1072046,1072066,1082018,1082180,1412002,1412012,1492020,2000000,2000003,2040501,2040504,2040801,2040901,2044002,2044802,2048001,2060000,2061000,2381001,4000195,4010000,4010004,4020007,4030012,4031773,2022245,4031865,4031866 move,stand,hit1,die1
1140130 开心的古木妖 19 0 4 101030101 1002107,1002113,1041029,1041062,1050003,1050010,1061027,1061058,1072046,1072066,1082018,1082180,1412002,1412012,2000000,2000003,2040501,2040801,2044802,2048001,2060000,2061000,2381082,4000195,4010000,4010004,4020007,4031773,4032319,2022245,4031865,4031866 move,stand,hit1,die1
1210100 猪猪 7 0 0 1000006,1020000,100010000,100020000,100020100,100030000,103020000,104010000,104010001,104010002,104020000,104030000,104040000,104040001,120010000 1002008,1002610,1040034,1041012,1041014,1061028,1062002,1402018,1422000,1472000,2000000,2010009,2040702,2041021,2060000,2061000,2380006,4000017,4000021,4010006,4020006,4030011,4030012,4031846,4032130,4032340,4032379,2022245,4031865,4031866 move,stand,jump,hit1,die1
1210101 漂漂猪 10 0 0 100020100,100030000,103020100,103020200,103030000,104010001,104010002,104040001,104040002 1032003,1040011,1040014,1040034,1041012,1052098,1060024,1061028,1072285,1402018,1462014,1492000,2000000,2040902,2060000,2061000,2380009,4000002,4000021,4001342,4001343,4001350,4001357,4001370,4001371,4003004,4010002,4020001,4030012,4032377,2022245,4031865,4031866 move,stand,jump,hit1,die1
1210102 花蘑菇 8 0 4 50001,1000001,1000002,100000002,100020000,100030000,102040000,102050000,103010000,103020000,103020100,103020200,104010000,104020000,104030001,104040001,104040002,800010000 1002043,1052095,1072004,1072015,1072031,1082012,1312000,1432000,2000000,2040001,2040705,2041009,2060000,2061000,2330000,2380007,4000001,4001345,4001354,4001364,4010000,4020007,4030001,4032314,2022245,4031865,4031866 move,stand,jump,hit1,die1
1210103 蓝水灵 15 0 5 100040004,101020006,102040001,103000101,103010001,103030100 1002075,1040035,1041062,1060025,1061058,1072019,1082180,1092030,1322023,1402018,1412002,1412012,1432000,1432008,1442029,1492001,2000000,2000003,2041004,2041015,2043302,2048000,2048001,2060000,2061000,2330000,2380012,4000037,4006000,4010002,4020005,4032137,4032139,2022245,4031865,4031866 move,stand,jump,hit1,die1
2100100 母沙沙兔 20 0 0 260010600,260010700 1002119,1032009,1050005,1050025,1072007,1072288,1082002,1332010,1382002,2000001,2000003,2040420,2040601,2060000,2061000,2381004,4000324,4003004,4010001,4010007,4020006,2022245,4031865,4031866 move,stand,hit1,die1
2100101 公沙沙兔 21 0 0 260010600,260010700 1002129,1041027,1060017,1061025,1061028,1082183,1092021,1472006,2000001,2000003,2002002,2044210,2044602,2060000,2061000,2381005,4000325,4003004,4010006,4010007,4020001,2022245,4031865,4031866 move,stand,hit1,die1
2100102 仙人掌宝宝 22 0 4 260010000,260010001 1002048,1032006,1040044,1050024,1051004,1060033,1072027,1082183,1082186,1462003,2000001,2000003,2022155,2040705,2043212,2044102,2044901,2060000,2061000,2381010,4000329,4010002,4010007,4020004,2022245,4031865,4031866 move,stand,hit1,die1
2100103 仙人掌妈妈 25 0 4 260010000,260010100,260010200 1002096,1041058,1050011,1061054,1072054,1072078,1072291,1082016,1092002,1322009,1432002,2000001,2000003,2022155,2040501,2044314,2060000,2061000,2381023,4000330,4010003,4010007,4020004,4030012,2022245,4031865,4031866 move,stand,hit1,die1
2100104 仙人掌爸爸 28 0 4 260010200,260010201 1002004,1040068,1060057,1072087,1082052,1082186,1092019,1322003,1442001,1452022,2000001,2000003,2002003,2022155,2041002,2043214,2043216,2060000,2061000,2381028,4000331,4004001,4010007,4020005,4020006,2022245,4031865,4031866 move,stand,hit1,die1
2100105 沙漠蛇先生 23 0 1 260010300,260010301 1002013,1002119,1052101,1072007,1072086,1082020,1302006,1372004,1452003,1482003,2000001,2000003,2040316,2040319,2040902,2044002,2044412,2060000,2061000,2330000,2381015,4000328,4006001,4010004,4010007,2022245,4031865,4031866 move,stand,hit1,die1
2100106 耳罩壁虎 24 0 1 260010300,260010400,260010500 1002055,1032004,1040049,1050001,1060037,1082068,1402002,1432001,1492002,2000001,2000003,2002004,2040926,2044501,2060000,2061000,2330000,2381019,4000326,4010007,4020000,4020007,2022245,4031865,4031866 move,stand,hit1,die1
2100107 围巾壁虎 27 0 1 260010500,260010501 1002141,1040059,1041054,1051011,1060045,1061050,1332004,1382009,1382017,1492003,2000001,2000003,2048001,2060000,2061000,2070002,2381025,4000327,4010007,4020002,4020003,2022245,4031865,4031866 move,stand,hit1,die1
2100108 丁满 29 0 0 260020000,260020100 1002164,1040062,1050029,1060051,1082005,1332009,1412004,1482003,2000001,2000003,2002005,2043002,2043701,2044014,2044214,2044801,2060000,2061000,2381030,4000333,4003004,4004002,4010001,4010002,4010007,2022245,4031865,4031866 move,stand,hit1,die1
2110200 刺蘑菇 22 0 4 100000004,100030001,101020008,103030200,105030000,105050000,105050100,105050101,105050200,105050300,105050400,105060000,105060100,105070000,105070001,106000300,106010000,106010100,107000500,107000501 1002005,1002038,1002138,1002182,1040044,1041008,1050006,1052104,1060002,1060033,1060038,1061006,1072073,1082000,1092000,1302004,1382012,1412002,1442001,1452016,1462004,1462014,1492002,2000001,2000003,2002003,2043214,2044001,2044102,2048000,2060000,2061000,2330000,2381007,4000015,4001368,4001369,4010000,4020006,4030012,4032390,2022245,4031865,4031866 move,stand,hit1,die1
2110300 沙漠土拨鼠 24 0 0 260020500,260020600,260020610,260020630 1002055,1002619,1032004,1040049,1050001,1060037,1082068,1402002,1432001,2000001,2000003,2002004,2043214,2044501,2060000,2061000,2381020,4000350,4010007,4020000,4020007,4032402,2022245,4031865,4031866 move,stand,hit1,die1
2110301 沙漠毒蝎 29 0 0 260020600,260020620,260020700 1002164,1040062,1050029,1060051,1082005,1332009,1412004,1492003,2000001,2000003,2002005,2043002,2043114,2043701,2060000,2061000,2330001,2381031,4000351,4004002,4010001,4010002,4010007,4031568,4032401,2022245,4031865,4031866 move,stand,hit1,die1
2130100 黑斧木妖 22 0 4 101030001,101030403,101030404,101030405,101040001,101040002,102020200,102020300,105030000,106000200,106000300,107000500,222010000,222010001,222010002,222010100,222010101,222010102 1002097,1002616,1041028,1051003,1051004,1061006,1061026,1072085,1072087,1472006,1472009,1472012,2000001,2000003,2012002,2044012,2044202,2044210,2060000,2061000,2070009,2381008,4000018,4000215,4001344,4001367,4001368,4006001,4010001,4020007,4031153,4031773,2022245,4031865,4031866 move,stand,hit1,die1
2130103 青蛇 21 0 1 103000200,103000201,107000000,107000001,107000100,107000200,107000300,107000400,107000401,107000402,107000403,500020101 1002027,1041021,1041031,1050005,1061018,1061028,1072069,1332008,1442024,1482002,2000001,2010003,2040617,2040902,2048003,2381006,4000034,4010002,4020006,2022245,4031865,4031866 move,stand,hit1,die1
2220000 红蜗牛王 20 1 0 104000400 1002049,1002073,1002150,1002159,1002619,1040023,1040041,1040050,1041024,1041033,1041060,1050025,1051005,1052104,1072052,1072069,1072074,1072087,1072291,1082001,1082018,1082028,1082039,1082186,1322001,2000000,2010009,2020014,2040001,2040002,2040301,2040302,2040401,2040402,2040418,2040501,2040601,2040928,2041016,2043114,2043201,2043302,2043701,2043702,2043801,2044001,2044414,2044801,2044902,2060000,2061000,2070000,2210006,2330000,2388000,4000000,4000016,4000019,4010000,4020000,2022245,4031865,4031866 move,stand,skill1,hit1,die1
